1529649442 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649444 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649445 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649446 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649447 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649448 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649449 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649451 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649452 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649453 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649454 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649455 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649456 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649458 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649459 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649460 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649461 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649462 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649463 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649465 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649466 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649467 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
