1529649495 KiB Mem: 8197444 total, 8047720 used, 149724 free, 11456 buffers
1529649496 KiB Mem: 8197444 total, 8051900 used, 145544 free, 11464 buffers
1529649497 KiB Mem: 8197444 total, 8051296 used, 146148 free, 11464 buffers
1529649499 KiB Mem: 8197444 total, 8052620 used, 144824 free, 11464 buffers
1529649500 KiB Mem: 8197444 total, 8058056 used, 139388 free, 11464 buffers
1529649501 KiB Mem: 8197444 total, 8056240 used, 141204 free, 11472 buffers
1529649502 KiB Mem: 8197444 total, 8061636 used, 135808 free, 11472 buffers
1529649503 KiB Mem: 8197444 total, 8057476 used, 139968 free, 11472 buffers
1529649504 KiB Mem: 8197444 total, 8050072 used, 147372 free, 11472 buffers
1529649506 KiB Mem: 8197444 total, 8050356 used, 147088 free, 11472 buffers
1529649507 KiB Mem: 8197444 total, 8048764 used, 148680 free, 11488 buffers
1529649508 KiB Mem: 8197444 total, 8050432 used, 147012 free, 11488 buffers
1529649509 KiB Mem: 8197444 total, 8051496 used, 145948 free, 11488 buffers
1529649510 KiB Mem: 8197444 total, 8050952 used, 146492 free, 11488 buffers
1529649511 KiB Mem: 8197444 total, 8051232 used, 146212 free, 11496 buffers
1529649513 KiB Mem: 8197444 total, 8051276 used, 146168 free, 11496 buffers
1529649514 KiB Mem: 8197444 total, 8051444 used, 146000 free, 11496 buffers
1529649515 KiB Mem: 8197444 total, 8051784 used, 145660 free, 11496 buffers
1529649516 KiB Mem: 8197444 total, 8052252 used, 145192 free, 11504 buffers
1529649517 KiB Mem: 8197444 total, 8051628 used, 145816 free, 11504 buffers
1529649518 KiB Mem: 8197444 total, 8052332 used, 145112 free, 11520 buffers
1529649520 KiB Mem: 8197444 total, 8052992 used, 144452 free, 11520 buffers
1529649521 KiB Mem: 8197444 total, 8049656 used, 147788 free, 11520 buffers
1529649522 KiB Mem: 8197444 total, 8053052 used, 144392 free, 11520 buffers
1529649523 KiB Mem: 8197444 total, 8052912 used, 144532 free, 11528 buffers
1529649524 KiB Mem: 8197444 total, 8052636 used, 144808 free, 11528 buffers
1529649525 KiB Mem: 8197444 total, 8052856 used, 144588 free, 11528 buffers
1529649527 KiB Mem: 8197444 total, 8053656 used, 143788 free, 11528 buffers
1529649528 KiB Mem: 8197444 total, 8050592 used, 146852 free, 11536 buffers
1529649529 KiB Mem: 8197444 total, 8053544 used, 143900 free, 11536 buffers
1529649530 KiB Mem: 8197444 total, 8054916 used, 142528 free, 11536 buffers
1529649531 KiB Mem: 8197444 total, 8054740 used, 142704 free, 11536 buffers
1529649532 KiB Mem: 8197444 total, 8063240 used, 134204 free, 11536 buffers
1529649534 KiB Mem: 8197444 total, 8055456 used, 141988 free, 11544 buffers
1529649535 KiB Mem: 8197444 total, 8063660 used, 133784 free, 11544 buffers
1529649536 KiB Mem: 8197444 total, 8062344 used, 135100 free, 11544 buffers
1529649537 KiB Mem: 8197444 total, 8056104 used, 141340 free, 11544 buffers
1529649538 KiB Mem: 8197444 total, 8052292 used, 145152 free, 11548 buffers
1529649539 KiB Mem: 8197444 total, 8053604 used, 143840 free, 11552 buffers
1529649541 KiB Mem: 8197444 total, 8053232 used, 144212 free, 11552 buffers
1529649542 KiB Mem: 8197444 total, 8054232 used, 143212 free, 11552 buffers
1529649543 KiB Mem: 8197444 total, 8053880 used, 143564 free, 11552 buffers
1529649544 KiB Mem: 8197444 total, 8053888 used, 143556 free, 11560 buffers
1529649545 KiB Mem: 8197444 total, 7844744 used, 352700 free, 11560 buffers
1529649547 KiB Mem: 8197444 total, 7955000 used, 242444 free, 11560 buffers
1529649548 KiB Mem: 8197444 total, 8041392 used, 156052 free, 11560 buffers
1529649549 KiB Mem: 8197444 total, 7893760 used, 303684 free, 11572 buffers
1529649550 KiB Mem: 8197444 total, 7892800 used, 304644 free, 11572 buffers
1529649551 KiB Mem: 8197444 total, 7890684 used, 306760 free, 11572 buffers
1529649552 KiB Mem: 8197444 total, 7892892 used, 304552 free, 11572 buffers
1529649554 KiB Mem: 8197444 total, 7894056 used, 303388 free, 11580 buffers
1529649555 KiB Mem: 8197444 total, 7894304 used, 303140 free, 11580 buffers
1529649556 KiB Mem: 8197444 total, 7892984 used, 304460 free, 11580 buffers
1529649557 KiB Mem: 8197444 total, 7894376 used, 303068 free, 11580 buffers
1529649558 KiB Mem: 8197444 total, 7892428 used, 305016 free, 11580 buffers
1529649559 KiB Mem: 8197444 total, 7894676 used, 302768 free, 11588 buffers
1529649561 KiB Mem: 8197444 total, 7893672 used, 303772 free, 11588 buffers
1529649562 KiB Mem: 8197444 total, 7894164 used, 303280 free, 11588 buffers
1529649563 KiB Mem: 8197444 total, 7894088 used, 303356 free, 11588 buffers
1529649564 KiB Mem: 8197444 total, 7903956 used, 293488 free, 11596 buffers
1529649565 KiB Mem: 8197444 total, 7896252 used, 301192 free, 11596 buffers
1529649566 KiB Mem: 8197444 total, 7903096 used, 294348 free, 11604 buffers
1529649568 KiB Mem: 8197444 total, 7900880 used, 296564 free, 11604 buffers
